index,Beds,Baths,Area,Noise,PropertyType,DaysOnRealtor.com,YearBuilt,Latitude,Longitude,City_x,County,FemaInfo,FloodFactorHigh,LastSoldYear,SizeRank,yearly_price_delta,yearly_price_delta_percent
833,3.0,2.0,2120.0, Low,Single Family Home,19.0,1988.0,28.123606,-80.58638499999998,Indialantic,Brevard County,X   (),True,2003,7213,-3342.4141414141413,-0.3300287049776241
834,2.0,2.0,1128.0, Medium,Single Family Home,52.0,1990.0,27.113740000000004,-80.16904,Hobe Sound,Martin County,AE   (),False,2019,4235,-11065.227272727272,0.2908273968747391
835,2.0,2.0,1224.0, Low,Condo,16.0,1989.0,27.120564,-80.168953,Hobe Sound,Martin County,X   (),False,2016,4235,-12864.563636363635,-0.11459669828731728
836,5.0,3.0,2585.0, Medium,Single Family Home,23.0,2016.0,25.464492,-80.42284000000002,Homestead,Miami-Dade County,AH   (),True,2016,840,-16360.8,-0.18840908895544967
837,2.0,2.0,1060.0, Medium,Condo,8.0,1979.0,26.204291,-80.272675,Fort Lauderdale,Broward County,X500   (),False,2004,401,-1351.9786096256685,-0.20049778795422368
838,2.0,2.0,1862.0, Medium,Single Family Home,10.0,1971.0,26.213563,-80.246864,Tamarac,Broward County,X500   (),False,1998,401,2953.837944664032,0.21489907848331
839,2.0,2.0,1275.0, Medium,Condo,110.0,2002.0,26.215873,-80.288863,Tamarac,Broward County,X500   (),False,2018,401,-8904.606060606062,0.09999999999999998
840,2.0,2.0,1215.0, Medium,Condo,10.0,1995.0,26.221091,-80.280363,Fort Lauderdale,Broward County,AH   (),False,2015,401,-8639.5,0.011372691654710554
841,2.0,2.0,1063.0, Medium,Condo,95.0,1986.0,26.213661,-80.284297,Tamarac,Broward County,X500   (),False,2006,401,379.9878787878788,0.15231866103094788
842,4.0,3.0,1983.0, Medium,Single Family Home,31.0,1957.0,25.882327,-80.307222,Hialeah,Miami-Dade County,X   (),False,2016,270,-11324.836363636365,0.4738643615478331
843,3.0,2.5,1875.0, Medium,Single Family Home,27.0,1995.0,26.129185,-80.39670699999998,Weston,Broward County,X500   (),False,2017,3337,-10063.681818181818,0.06323626169234256
844,3.0,2.0,1550.0, Medium,Condo,48.0,1975.0,25.706018,-80.381979,Miami,Miami-Dade County,AH   (),True,2010,3530,-8604.272727272728,0.6898217125133134
845,3.0,2.5,1478.0, Medium,Townhome,76.0,1979.0,25.701566,-80.380131,Miami,Miami-Dade County,AH   (),False,2015,3530,-15312.37878787879,0.1964421491355948
846,3.0,3.0,2146.0, Medium,Single Family Home,24.0,1979.0,25.697995,-80.380691,Miami,Miami-Dade County,X   (),False,2007,3530,4773.88961038961,0.2775633606892051
847,4.0,2.0,1700.0, Medium,Single Family Home,126.0,1976.0,26.633182,-80.124359,Greenacres,Palm Beach County,X   (),False,2019,593,-7075.409090909091,0.9871852724312818
848,1.0,1.5,708.0, Medium,Condo,52.0,1981.0,26.123278,-80.238127,Plantation,Broward County,X500   (),False,2017,3074,-5184.477272727272,0.2471371882086168
849,4.0,2.5,3208.0, Low,Single Family Home,24.0,1987.0,27.882313,-82.299909,Riverview,Hillsborough County,AE   (),False,2019,5210,6555.227272727272,1.0885181289869332
850,3.0,2.5,1500.0, Medium,Townhome,63.0,2009.0,27.834018,-82.697197,Pinellas Park,Pinellas County,X   (),False,2009,3895,-2772.2575757575764,-0.0064089987579045715
851,3.0,2.0,1435.0, Medium,Single Family Home,25.0,1974.0,26.034024,-80.22608699999998,Hollywood,Broward County,X500   (),False,2015,158,-13733.060606060602,0.12644852402086282
852,5.0,4.5,4616.0, Low,Single Family Home,70.0,2021.0,26.069666,-80.22456899999997,Fort Lauderdale,Broward County,AH   (),False,2020,4443,-110970.77272727274,-0.5815871715159988
853,3.0,3.5,4650.0, Medium,Single Family Home,170.0,2004.0,27.777578,-80.40528499999998,Vero Beach,Indian River County,X500   (),False,2011,4321,10654.82727272727,0.4182912199356781
854,2.0,2.0,1236.0, Medium,Condo,9.0,1997.0,25.767799,-80.186414,Miami,Miami-Dade County,AE   (),True,2006,1765,4675.593939393939,0.07142781331370995
855,4.0,3.0,2755.0, Low,Single Family Home,8.0,2002.0,28.662259,-81.152004,Oviedo,Seminole County,X   (),False,2007,8646,2885.9545454545455,0.17745645767345966
