index,Beds,Baths,Area,Noise,PropertyType,DaysOnRealtor.com,YearBuilt,Latitude,Longitude,City_x,County,FemaInfo,FloodFactorInfo,LastSoldYear,SizeRank
116,3.0,2.0,2046.0, Low,Single Family Home,8.0,2018.0,27.792164,-82.28737199999998,Riverview,Hillsborough County,X   (),flood_factor_low,2018.0,3346
527,4.0,5.0,3888.0, Medium,Single Family Home,68.0,2020.0,26.156264,-80.10609000000002,Fort Lauderdale,Broward County,AE   (),flood_factor_high,2016.0,7456
751,4.0,2.0,2163.0, Low,Single Family Home,31.0,1990.0,28.678272999999997,-81.19980100000002,Oviedo,Seminole County,X   (),flood_factor_low,2020.0,456
865,4.0,2.5,2954.0, N/A,Single Family Home,2.0,1987.0,27.139771999999997,-80.348425,Palm City,Martin County,X   (),flood_factor_low,2009.0,2950
24,2.0,2.0,1560.0, Medium,Condo,95.0,2006.0,30.278222999999997,-81.386813,Jacksonville Beach,Duval County,AO   (),flood_factor_high,2007.0,2488
814,3.0,2.0,1320.0, Medium,Condo,20.0,1985.0,28.09041,-80.6985,Melbourne,Brevard County,X   (),flood_factor_low,2003.0,2530
979,5.0,4.0,2570.0, N/A,Single Family Home,30.0,2014.0,30.254619,-82.112669,Macclenny,Baker County,X   (),flood_factor_low,2017.0,8803
105,3.0,2.5,1524.0, Medium,Townhome,61.0,2016.0,25.536691,-80.379026,Homestead,Miami-Dade County,AE   (),flood_factor_high,2016.0,1697
795,4.0,3.5,4732.0, Low,Single Family Home,135.0,1997.0,27.14435,-80.331502,Palm City,Martin County,AE   (),flood_factor_low,2013.0,2950
55,5.0,3.0,3748.0, Medium,Single Family Home,26.0,1974.0,28.048275,-82.383434,Temple Terrace,Hillsborough County,X   (),flood_factor_low,2019.0,1023
492,2.0,1.0,1008.0, Medium,Single Family Home,54.0,1967.0,26.191248,-80.180123,Fort Lauderdale,Broward County,X   (),flood_factor_low,2019.0,2297
79,4.0,2.5,2143.0, Medium,Single Family Home,108.0,1983.0,26.724891999999997,-80.226603,Royal Palm Beach,Palm Beach County,X   (),flood_factor_low,2013.0,90
380,1.0,1.5,757.0,,Condo,99.0,1979.0,26.640934,-80.105136,Palm Springs,Palm Beach County,X   (),flood_factor_low,2014.0,1631
280,2.0,2.0,1060.0, Medium,Townhome,68.0,1982.0,26.022044,-80.272225,Pembroke Pines,Broward County,X500   (),flood_factor_low,2016.0,158
690,4.0,3.5,3244.0, Low,Single Family Home,7.0,1991.0,27.900484000000002,-82.832598,Largo,Pinellas County,AE   (),flood_factor_high,2012.0,3084
6,2.0,2.5,1757.0, Low,Condo,224.0,2002.0,25.766816,-80.132849,Miami Beach,Miami-Dade County,AE   (),flood_factor_high,2003.0,101
44,3.0,2.5,1428.0, Medium,Single Family Home,380.0,1991.0,26.14059,-80.293363,Plantation,Broward County,X500   (),flood_factor_low,2020.0,952
347,3.0,2.0,1833.0, Medium,Single Family Home,29.0,1980.0,28.031115000000003,-82.765303,Dunedin,Pinellas County,X   (),flood_factor_low,2020.0,698
269,4.0,2.0,1470.0, Medium,Single Family Home,9.0,2004.0,25.921287,-80.26743499999998,Opa Locka,Miami-Dade County,X500   (),flood_factor_low,2015.0,4955
652,4.0,2.0,2456.0, Low,Single Family Home,14.0,1989.0,28.178448,-80.68508800000002,Melbourne,Brevard County,A   (),flood_factor_high,2019.0,6569
228,3.0,1.0,1184.0, Medium,Single Family Home,226.0,1954.0,25.936425,-80.170687,North Miami Beach,Miami-Dade County,X   (),flood_factor_low,2020.0,2819
136,3.0,2.0,1076.0, Low,Single Family Home,87.0,1990.0,28.022109999999998,-80.708016,Palm Bay,Brevard County,X   (),flood_factor_low,2003.0,1528
383,3.0,3.0,2169.0, Low,Condo,236.0,1978.0,25.696752,-80.15791,Key Biscayne,Miami-Dade County,AE   (),flood_factor_high,2015.0,7235
414,2.0,2.0,1414.0, Medium,Condo,4.0,2008.0,27.89917100000001,-82.33448299999998,Riverview,Hillsborough County,X   (),flood_factor_low,2018.0,506
708,2.0,2.0,1038.0, Medium,Single Family Home,24.0,1962.0,28.479383000000002,-80.77414,Cocoa,Brevard County,X   (),flood_factor_low,2018.0,4504
925,3.0,3.5,1987.0, High,Townhome,18.0,2007.0,26.132978,-80.140059,Fort Lauderdale,Broward County,X500   (),flood_factor_high,2013.0,3988
